port_capacity_teu,containers_in_yard,vessel_arrivals_24h,avg_container_volume_per_vessel,berth_utilization,truck_arrivals_24h,truck_queue_minutes,avg_handling_time_hours,customs_clearance_hours,weather_severity,crane_utilization,historical_delay_rate,rail_utilization,congestion_risk,shipment_delayed
23795,22309,14,1480,0.46686216389574353,865,273,16.786580716048515,34.39318587421403,0.43964791712316587,0.9389684857783449,0.06696574534509141,0.8968148473605895,1,1
8860,24427,18,1989,0.7446162163655976,4460,255,7.835199185520793,15.48932038075604,0.21405738800273955,0.400581981056751,0.7424174845105855,0.5894470194432423,1,1
13390,20358,17,1438,0.4996629562147057,6109,110,13.100688361467908,41.13103968226108,0.6075712462054865,0.702973577417597,0.35418915671706475,0.45912940294911364,1,1
29575,28901,4,3371,0.40114566998182827,2872,265,17.35664600702856,22.282199269340392,0.8842092025118957,0.6727131327027861,0.6065493106914936,0.5792297182921563,1,1
19964,26576,3,3227,0.3503546781345625,5591,357,4.014172046354975,47.92393120955959,0.595460124162075,0.38669424654240664,0.10040367685488567,0.1048548202032589,1,1
19284,12175,12,3092,0.7393244168960429,1018,18,15.734708214862545,1.0187855516982718,0.4466683074773813,0.4061659011323588,0.7412059360616307,0.8605348732571827,1,1
14265,28464,10,314,0.5817752214273515,5491,84,8.441650161487777,6.146016295672163,0.796868766224904,0.5944591571059229,0.027047063873723777,0.5524661698958533,1,1
24850,19260,4,2715,0.8314790212310118,6443,164,13.584959302834056,15.184282417960997,0.7480386228745287,0.4358631803806598,0.03370972858364496,0.48390306527456617,1,1
12426,5672,19,2985,0.5901128949203855,4210,182,6.343382589161881,2.198857103824518,0.36705812153069617,0.6559660188466278,0.043668624170418724,0.9003616484735366,1,1
29962,10279,21,3200,0.6610422068724651,6720,159,7.010739601389026,37.76995451369778,0.6041534706653618,0.7396888866605947,0.08272652877078608,0.7208468718111567,1,1
22423,26915,16,1536,0.6105343826018463,6877,39,1.947698210323091,3.4802740299504995,0.7298428603179912,0.7924938780819051,0.38946531510872895,0.38680771403594627,1,1
19363,28902,15,4400,0.7663678663099815,1329,263,17.528168527254834,36.20204276480988,0.24546325801944102,0.6997408421892892,0.6306211536919748,0.8957338592384031,1,1
24023,11662,3,3520,0.5779290636895796,3133,264,14.921967491307942,3.4707175631088223,0.36627387908418985,0.5929824101717199,0.22795826516506487,0.8241979812445175,1,1
16322,4987,18,1907,0.9668112959630777,770,139,3.049646305782638,12.878181438693144,0.10577607054997051,0.43304552102696675,0.5966214573548765,0.911353669913221,1,1
9685,19474,23,3863,0.9491340714230593,3486,135,17.991895128452278,40.540010335950896,0.9876802783068334,0.5083906654765296,0.6192487798148186,0.18179034679960582,1,1
8769,28105,9,3597,0.89273785770066,4038,85,11.482905853848534,45.70147882917304,0.08587765042313578,0.6184298732901463,0.7266218638814057,0.9119921559790768,1,1
10433,15948,11,2933,0.9389921731665588,5064,63,15.58652252641232,20.482738105044074,0.16860612512357742,0.9414332693774723,0.1194815361182144,0.561450413040822,1,1
13311,23443,19,4190,0.6374494006140102,5314,78,2.599902594084838,46.58713132268991,0.4798319496641398,0.4796643719644128,0.10842760722747435,0.6713828176535023,1,1
13051,16026,20,3108,0.6933154539452749,1507,243,7.925944445116741,30.4634034166515,0.8652718335445393,0.6145403077968994,0.09767604442729434,0.2804030647312653,1,1
14420,5773,9,1091,0.8249392592372764,2817,133,12.549243518009563,20.544250754347775,0.35588202294795945,0.8186776687193946,0.2874484872432989,0.2193412665441679,1,1
25568,16159,9,1299,0.7955333919606663,1104,319,3.2561563585450752,38.7316631664921,0.7685961475313459,0.8013301452812125,0.3915301313535838,0.1674793729396012,1,1
28939,12878,4,451,0.9200343011875013,4973,142,9.56689683779101,14.880440446589455,0.6760340733162361,0.9679792604633236,0.3692874840124935,0.4589661283230142,1,1
27769,27767,4,3363,0.8084518574442849,676,107,8.804184929978335,13.492424283930264,0.6386640771596789,0.47217682987499154,0.20563898511983567,0.2881470491820307,1,1
14396,13178,13,2391,0.9886462132662147,2821,13,5.064663703814066,31.85774081482049,0.8450172509668401,0.36057255142397554,0.4975837003707998,0.1693794723947165,1,1
16666,26793,23,4382,0.5730437118922183,2214,236,6.454452291554737,19.352906012500462,0.014170289628625654,0.5562868870318097,0.27061890456043525,0.9118062665393877,1,1
26942,13377,18,4326,0.8831185550332274,1136,103,17.45745284916721,7.388147266414039,0.9291530385603917,0.4458032719889382,0.2928663904636159,0.7233826417604068,1,1
